ada,protocolNumber,submissionTimestamp,subject,organization,url,status,nonRevokable
6Λ1ΣΗ-ΣΔΔ,86937/11-10-2020,20/10/2020 11:32:05,"ΠΙΣΤΟΠΟΙΗΤΙΚΟ ΕΛΕΓΧΟΥ ΚΑΤΑΣΚΕΥΗΣ
Κατεδάφιση κτηρίων περιοχών Β, Γ, Δ και Α (πλην των κτηρίων 294-298, 581-593 και 864) εντός του Μητροπολιτικού Πόλου Ελληνικού-Αγ. Κοσμά",ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΚΩΝ,https://diavgeia.gov.gr/doc/6Λ1ΣΗ-ΣΔΔ,PUBLISHED,
ΨΙΘΑΗ-ΙΘ9,109163 ΕΞ 2020 ΥΠΟΙΚ 29/09/2020,02/10/2020 12:36:59,Κατεδάφιση των κτηρίων υπ'αρ.294 μέχρι και 298 μέχρι τη στάθμη του ισογείου στην περιοχή Β του τέως Αεροδρομίου Ελληνικού.,ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΚΩΝ,https://diavgeia.gov.gr/doc/ΨΙΘΑΗ-ΙΘ9,PUBLISHED,
67Τ846Ψ842-ΔΑ5,254726,24/06/2021 16:38:51,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: «ΕΚΤΕΛΕΣΗ ΓΕΩΤΕΧΝΙΚΩΝ ΚΑΙ ΓΕΩΦΥΣΙΚΩΝ ΕΡΕΥΝΩΝ, ΓΕΩΤΕΧΝΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΚΑΙ ΓΕΩΤΕΧΝΙΚΕΣ ΜΕΛΕΤΕΣ ΘΕΜΕΛΙΩΣΗΣ ΣΤΟ ΧΕΡΣΑΙΟ ΤΜΗΜΑ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙ-ΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ – ΑΓ. ΚΟΣΜΑ»",ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ,https://diavgeia.gov.gr/doc/67Τ846Ψ842-ΔΑ5,PUBLISHED,
ΨΣΛ3Η-19Λ,53772 ΕΞ 2020/01-06-2020,04/06/2020 13:07:51,"Διαπιστωτική Πράξη, σύμφωνα με το Ν. 4663/2020 (άρθρο 67, παράγραφος 3δ), των κτιρίων υπ’ αρ. 294 μέχρι και 298 που αποτυπώνονται στο τοπογραφικό διάγραμμα του Παραρτήματος B’ του Ν. 4663/2020 και βρίσκονται εντός του Μητροπολιτικού Πόλου Ελληνικού – Αγίου Κοσμά (ΜΠΕΑΚ)",ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΚΩΝ,https://diavgeia.gov.gr/doc/ΨΣΛ3Η-19Λ,PUBLISHED,
627ΩΗ-39Λ,62682 ΕΞ 2020/19-06-2020,22/06/2020 15:39:22,"Διαπιστωτική Πράξη, σύμφωνα με το Ν. 4663/2020 (άρθρο 67, παράγραφος 3δ), των κτιρίων στις περιοχές Β, Γ, Δ και Α στο αεροδρόμιο του Ελληνικού μέχρι το δάπεδο ισογείου, όπως φαίνονται στο ΦΕΚ 240Δ/2020 (πλην των κτιρίων 294 έως και 298, 581 έως και 593 και 864)",ΥΠΟΥΡΓΕΙΟ ΟΙΚΟΝΟΜΙΚΩΝ,https://diavgeia.gov.gr/doc/627ΩΗ-39Λ,PUBLISHED,
Ω57Α46Ψ842-ΑΒΓ,273701,02/08/2021 15:56:41,Προέγκριση Οικοδομικής Αδείας (ν.4759/2020): ΕΡΓΑΣΙΕΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΚΕΛΥΦΟΥΣ TOY ΧΑΡΑΚΤΗΡΙΣΜΕΝΟΥ ΝΕΩΤΕΡΟΥ ΜΝΗΜΕΙΟΥ ΥΠΟΣΤΕΓΟΥ Γ' ΤΗΣ ΠΟΛΕΜΙΚΗΣ ΑΕΡΟΠΟΡΙΑΣ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΑΡΚΟΥ ΠΡΑΣΙΝΟΥ ΚΑΙ ΑΝΑΨΥΧΗΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ- ΑΓ. ΚΟΣΜΑ»,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ,https://diavgeia.gov.gr/doc/Ω57Α46Ψ842-ΑΒΓ,PUBLISHED,
6ΧΟΧ4653Π8-ΧΟΞ,ΥΠΕΝ/ΑΓΕ/2675/9,10/01/2025 14:36:14,"Διαπιστωτική Πράξη, σύμφωνα με το άρθρο 67 παράγραφος 3δ του Ν.4663/2020 (ως τροποποιήθηκε με το άρθρο 5 παράγραφος 4 του Ν.4787/2021), που αφορά εργασίες κατεδάφισης των κτηρίων 735,745 και 793 κτιρίων, των 444, 445, 446 και 751 εδαφοπλακών και λοιπών εγκαταστάσεων στην περιοχή του εργοστασίου αεροσκαφών, εντός του Μητροπολιτικού Πάρκου Πρασίνου και Αναψυχής του Μητροπολιτικού Πόλου Ελληνικού – Αγίου Κοσμά, όπως απαριθμούνται στο Παράρτημα Α’ του Ν.4663/2020.",ΥΠΟΥΡΓΕΙΟ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ,https://diavgeia.gov.gr/doc/6ΧΟΧ4653Π8-ΧΟΞ,PUBLISHED,
9ΟΠΔ4653Π8-Β9Θ,ΥΠΕΝ/ΔΠΟΛΣ/94196/2873,10/01/2019 15:38:57,"Υποβολή 2 τευχών των Μελετών Γεωλογικής Καταλληλότητας για
Δόμηση των προς Πολεοδόμηση Ζωνών και των Ζωνών Ανάπτυξης
του Σχεδίου Ολοκληρωμένης Ανάπτυξης (ΣΟΑ) του Μητροπολιτικού
Πόλου Ελληνικού – Αγίου Κοσμά για Έγκριση",ΥΠΟΥΡΓΕΙΟ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ,https://diavgeia.gov.gr/doc/9ΟΠΔ4653Π8-Β9Θ,PUBLISHED,
ΩΡΚ646ΜΤΛΡ-96Λ,67382 - 29-06-2020,02/07/2020 16:16:24,"«Έγκριση εκτέλεσης εργασιών κατεδάφισης κτιρίων των περιοχών Β, Γ, Δ και Α (πλην των κτιρίων υπ’ αρ. 294 έως 298, των 581 έως 593 και 864) του άρθρου 67, του ν. 4663/2020 που
έχουν αναγερθεί εντός του Μητροπολιτικού Πόλου Ελληνικού Αγίου Κοσμά (ΜΠΕΑ)».",ΥΠΟΥΡΓΕΙΟ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ,https://diavgeia.gov.gr/doc/ΩΡΚ646ΜΤΛΡ-96Λ,PUBLISHED,
6Υ5Ι46ΜΤΛΡ-6Τ0,60732 - 12-06-2020,15/06/2020 09:37:25,«Έγκριση εκτέλεσης εργασιών κατεδάφισης των κτιρίων υπ’ αρ. 294 μέχρι και 298 που αποτυπώνονται στο τοπογραφικό διάγραμμα του Παραρτήματος Β′ του ν. 4663/2020 (Α′ 30)»,ΥΠΟΥΡΓΕΙΟ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΕΠΕΝΔΥΣΕΩΝ,https://diavgeia.gov.gr/doc/6Υ5Ι46ΜΤΛΡ-6Τ0,PUBLISHED,
