ada,protocolNumber,issueDate,submissionTimestamp,documentUrl,subject,decisionTypeUid,decisionTypeLabel,organizationUid,organizationLabel
6ΜΑΛ46Ψ842-Ο32,312535,26/10/2021 18:25:16,27/10/2021 12:11:31,https://diavgeia.gov.gr/doc/6ΜΑΛ46Ψ842-Ο32,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: Εκτέλεση Γεωτεχνικών και Γεωφυσικών ερευνών, Γεωτεχνική αξιολόγηση και Γεωτεχνικές μελέτες θεμελίωσης στο χερσαίο τμήμα του Μητροπολιτικού πόλου Ελληνικού – Αγ;iου Κοσμά",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
ΨΨΤ346Ψ842-ΤΚΦ,281345,24/08/2021 13:05:04,24/08/2021 14:14:53,https://diavgeia.gov.gr/doc/ΨΨΤ346Ψ842-ΤΚΦ,Οικοδομική Άδεια (ν.4759/2020): ΕΡΓΑΣΙΕΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΚΕΛΥΦΟΥΣ TOY ΧΑΡΑΚΤΗΡΙΣΜΕΝΟΥ ΝΕΩΤΕΡΟΥ ΜΝΗΜΕΙΟΥ ΥΠΟΣΤΕΓΟΥ Γ' ΤΗΣ ΠΟΛΕΜΙΚΗΣ ΑΕΡΟΠΟΡΙΑΣ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΑΡΚΟΥ ΠΡΑΣΙΝΟΥ ΚΑΙ ΑΝΑΨΥΧΗΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ- ΑΓ. ΚΟΣΜΑ»,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
Ω57Α46Ψ842-ΑΒΓ,273701,30/07/2021 18:54:51,02/08/2021 15:56:41,https://diavgeia.gov.gr/doc/Ω57Α46Ψ842-ΑΒΓ,Προέγκριση Οικοδομικής Αδείας (ν.4759/2020): ΕΡΓΑΣΙΕΣ ΑΠΟΚΑΤΑΣΤΑΣΗΣ ΚΕΛΥΦΟΥΣ TOY ΧΑΡΑΚΤΗΡΙΣΜΕΝΟΥ ΝΕΩΤΕΡΟΥ ΜΝΗΜΕΙΟΥ ΥΠΟΣΤΕΓΟΥ Γ' ΤΗΣ ΠΟΛΕΜΙΚΗΣ ΑΕΡΟΠΟΡΙΑΣ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΑΡΚΟΥ ΠΡΑΣΙΝΟΥ ΚΑΙ ΑΝΑΨΥΧΗΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ- ΑΓ. ΚΟΣΜΑ»,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
Ψ5ΗΟ46Ψ842-ΖΤ8,427183,14/06/2022 11:51:55,14/06/2022 14:14:00,https://diavgeia.gov.gr/doc/Ψ5ΗΟ46Ψ842-ΖΤ8,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΓΕΩΤΕΧΝΙΚΩΝ ΚΑΙ ΓΕΩΦΥΣΙΚΩΝ ΕΡΕΥΝΩΝ, ΓΕΩΤΕΧΝΙΚΗ ΑΞΙΟΛΟΓΗΣΗ ΚΑΙ ΓΕΩΤΕΧΝΙΚΕΣ ΜΕΛΕΤΕΣ ΘΕΜΕΛΙΩΣΗΣ ΣΤΟ ΧΕΡΣΑΙΟ ΤΜΗΜΑ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ –ΑΓ. ΚΟΣΜΑ- ΟΤ ΑΠ 1.5",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
Ψ3Ζ246Ψ842-ΙΗΙ,379460,23/03/2022 14:15:18,23/03/2022 15:25:02,https://diavgeia.gov.gr/doc/Ψ3Ζ246Ψ842-ΙΗΙ,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: Εκτέλεση Γεωτεχνικών και Γεωφυσικών Ερευνών, Γεωτεχνική Αξιολόγηση και Γεωτεχνικές Μελέτες Θεμελίωσης στο χερσαίο τμήμα του Μητροπολιτικού Πόλου Ελληνικού – Αγ. Κοσμά – VMT (VMC+MUT) ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
ΩΑΠΔ46Ψ842-550,393546,15/04/2022 12:21:49,15/04/2022 12:30:55,https://diavgeia.gov.gr/doc/ΩΑΠΔ46Ψ842-550,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΓΚΡΙΣΗ ΕΡΓΑΣΙΩΝ ΔΟΜΗΣΗΣ ΜΙΚΡΗΣ ΚΛΙΜΑΚΑΣ – 
Τοποθέτηση ικριωμάτων, εκσκαφές, περίφραξη εντός των γηπέδων με αριθμούς Κ.Α.Ε.Κ.: 05050EK00205, 050412602011 και 050501801001 ευρισκόμενα ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ (ΠΡΩΗΝ ΑΝΑΤΟΛΙΚΟΣ ΑΕΡΟΛΙΜΕΝΑΣ ΕΛΛΗΝΙΚΟΥ). ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
ΩΤ7Α46Ψ842-Ξ7Α,414051,24/05/2022 11:44:14,24/05/2022 15:14:30,https://diavgeia.gov.gr/doc/ΩΤ7Α46Ψ842-Ξ7Α,Οικοδομική Άδεια (ν.4759/2020): ΝΕΟ ΚΤΙΡΙΟ ΜΕΤΕΓΚΑΤΑΣΤΑΣΗΣ ΣΥΛΛΟΓΩΝ ΑΜΕΑ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ - ΑΓΙΟΥ ΚΟΣΜΑ ΚΑΙ ΚΟΠΗ ΔΕΝΔΡΩΝ,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
9ΥΤΟ46Ψ842-ΓΥΜ,389009,08/04/2022 13:27:08,08/04/2022 14:20:09,https://diavgeia.gov.gr/doc/9ΥΤΟ46Ψ842-ΓΥΜ,Αναθεώρηση προέγκρισης Οικοδομικής Αδείας (ν.4759/2020): ΝΕΟ ΚΤΙΡΙΟ ΜΕΤΕΓΚΑΤΑΣΤΑΣΗΣ ΣΥΛΛΟΓΩΝ ΑΜΕΑ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ - ΑΓΙΟΥ ΚΟΣΜΑ ΚΑΙ ΚΟΠΗ ΔΕΝΔΡΩΝ,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
Ψ2ΜΤ46Ψ842-2Ν0,364591,21/02/2022 16:39:51,22/02/2022 15:17:52,https://diavgeia.gov.gr/doc/Ψ2ΜΤ46Ψ842-2Ν0,Προέγκριση για Αναθεώρηση Οικ. Αδείας (ν.4759/2020): ΕΡΓΑΣΙΕΣ ΕΣΩΤΕΡΙΚΗΣ ΔΙΑΡΡΥΘΜΙΣΗΣ ΠΡΟΣΩΡΙΝΗΣ ΑΛΛΑΓΗΣ ΧΡΗΣΗΣ ΩΣ ΚΕΝΤΡΟ ΕΝΗΜΕΡΩΣΗΣ ΚΑΙ ΕΚΘΕΣΙΑΚΟΥ ΧΩΡΟΥ ΤΟΥ ΧΑΡΑΚΤΗΡΙΣΜΕΝΟΥ ΝΕΩΤΕΡΟΥ ΜΝΗΜΕΙΟΥ ΥΠΟΣΤΕΓΟΥ Γ' ΤΗΣ ΠΟΛΕΜΙΚΗΣ ΑΕΡΟΠΟΡΙΑΣ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΑΡΚΟΥ ΠΡΑΣΙΝΟΥ ΚΑΙ ΑΝΑΨΥΧΗΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ- ΑΓ. ΚΟΣΜΑ,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
6ΧΘ046Ψ842-ΚΔΓ,383135,31/03/2022 09:27:59,31/03/2022 09:59:26,https://diavgeia.gov.gr/doc/6ΧΘ046Ψ842-ΚΔΓ,Προέγκριση Οικοδομικής Αδείας (ν.4759/2020): ΝΕΟ ΚΤΙΡΙΟ ΜΕΤΕΓΚΑΤΑΣΤΑΣΗΣ ΣΥΛΛΟΓΩΝ ΑΜΕΑ ΕΝΤΟΣ ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ - ΑΓΙΟΥ ΚΟΣΜΑ ΚΑΙ ΚΟΠΗ ΔΕΝΔΡΩΝ,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
