ada,protocolNumber,issueDate,submissionTimestamp,documentUrl,subject,decisionTypeUid,decisionTypeLabel,organizationUid,organizationLabel
6ΜΣΞ46Ψ842-03Γ,566120,23/12/2022 12:45:42,23/12/2022 13:14:41,https://diavgeia.gov.gr/doc/6ΜΣΞ46Ψ842-03Γ,"Προέγκριση Οικοδομικής Αδείας (ν.4759/2020): ΑΝΕΓΕΡΣΗ ΣΥΓΚΡΟΤΗΜΑΤΟΣ 4 ΤΡΙΩΡΟΦΩΝ ΚΤΗΡΙΩΝ ΚΑΤΟΙΚΙΩΝ, ΜΕ ΕΝΑΝ ΥΠΟΓΕΙΟ ΟΡΟΦΟ ΣΤΑΘΜΕΥΣΗΣ ΚΑΙ ΒΟΗΘΗΤΙΚΩΝ ΧΩΡΩΝ, ΦΥΤΕΜΕΝΑ ΔΩΜΑΤΑ, 18 ΚΟΛΥΜΒΗΤΙΚΕΣ ΔΕΞΑΜΕΝΕΣ , ΜΕ ΔΙΑΜΟΡΦΩΣΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΧΩΡΟΥ , ΑΔΕΙΑ ΚΟΠΗΣ ΔΕΝΤΡΩΝ ΚΑΙ ΧΡΗΣΗ ΤΟΥ ΑΡΘΡΟΥ 25 ΤΟΥ ΝΟΚ ΟΠΩΣ ΙΣΧΥΕΙ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ ΠΜ-Π1.6Β",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
99ΠΝ46Ψ842-9Δ4,592548,31/01/2023 09:33:44,31/01/2023 15:40:07,https://diavgeia.gov.gr/doc/99ΠΝ46Ψ842-9Δ4,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΕΡΓΑΣΙΩΝ ΓΙΑ ΓΕΩΤΕΧΝΙΚΗ ΕΡΕΥΝΑ, ΔΟΚΙΜΑΣΤΙΚΕΣ ΤΟΜΕΣ ΕΔΑΦΟΥΣ ΚΑΙ ΕΚΣΚΑΦΕΣ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ Α-Π6.9 (MAINSTREAM II) ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ 
ΕΛΛΗΝΙΚΟΥ – ΑΓΙΟΥ ΚΟΣΜΑ ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
ΡΚΞ946Ψ842-ΦΥΤ,593540,01/02/2023 09:53:42,01/02/2023 15:42:37,https://diavgeia.gov.gr/doc/ΡΚΞ946Ψ842-ΦΥΤ,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΕΡΓΑΣΙΩΝ ΓΙΑ ΓΕΩΤΕΧΝΙΚΗ ΕΡΕΥΝΑ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ 
 Α-Π6.11 (MAINSTREAM II) ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ 
ΕΛΛΗΝΙΚΟΥ – ΑΓΙΟΥ ΚΟΣΜΑ ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
9ΔΕΗ46Ψ842-ΚΩ2,593534,01/02/2023 09:50:32,01/02/2023 15:40:50,https://diavgeia.gov.gr/doc/9ΔΕΗ46Ψ842-ΚΩ2,"Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΕΡΓΑΣΙΩΝ ΓΙΑ ΓΕΩΤΕΧΝΙΚΗ ΕΡΕΥΝΑ, ΔΟΚΙΜΑΣΤΙΚΕΣ ΤΟΜΕΣ ΕΔΑΦΟΥΣ ΚΑΙ ΕΚΣΚΑΦΕΣ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ Α-Π6.10 (MAINSTREAM II) ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ 
ΕΛΛΗΝΙΚΟΥ – ΑΓΙΟΥ ΚΟΣΜΑ ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
ΨΝΕΣ46Ψ842-2ΣΩ,597495,07/02/2023 09:46:59,07/02/2023 15:28:25,https://diavgeia.gov.gr/doc/ΨΝΕΣ46Ψ842-2ΣΩ,Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΕΡΓΑΣΙΩΝ ΓΙΑ ΓΕΩΤΕΧΝΙΚΗ ΕΡΕΥΝΑ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ Α-Π1.6 (MAINSTREAM I) ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ – ΑΓΙΟΥ ΚΟΣΜΑ,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
ΩΖΨΠ46Ψ842-Θ5Δ,712093,12/06/2023 10:48:27,12/06/2023 11:58:44,https://diavgeia.gov.gr/doc/ΩΖΨΠ46Ψ842-Θ5Δ,Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΕΡΓΑΣΙΩΝ ΓΙΑ ΓΕΩΤΕΧΝΙΚΗ ΕΡΕΥΝΑ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ Α-Π6.7 (MAINSTREAM II) ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ – ΑΓΙΟΥ ΚΟΣΜΑ,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
6ΞΥΙ46Ψ842-ΛΥΥ,712099,12/06/2023 10:49:21,12/06/2023 11:57:28,https://diavgeia.gov.gr/doc/6ΞΥΙ46Ψ842-ΛΥΥ,Έγκριση Εργασιών Δόμησης Μικρής Κλίμακας: ΕΚΤΕΛΕΣΗ ΕΡΓΑΣΙΩΝ ΓΙΑ ΓΕΩΤΕΧΝΙΚΗ ΕΡΕΥΝΑ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ Α-Π6.8 (MAINSTREAM II) ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ – ΑΓΙΟΥ ΚΟΣΜΑ,2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
9ΞΣ046Ψ842-Ε3Η,605274,16/02/2023 11:25:49,16/02/2023 14:00:24,https://diavgeia.gov.gr/doc/9ΞΣ046Ψ842-Ε3Η,"Προέγκριση Οικοδομικής Αδείας (ν.4759/2020): ΑΝΕΓΕΡΣΗ ΣΥΓΚΡΟΤΗΜΑΤΟΣ 5 ΤΡΙΩΡΟΦΩΝ ΚΤΗΡΙΩΝ ΚΑΤΟΙΚΙΩΝ, ΜΕ ΕΝΑΝ ΥΠΟΓΕΙΟ ΟΡΟΦΟ ΣΤΑΘΜΕΥΣΗΣ ΚΑΙ ΒΟΗΘΗΤΙΚΩΝ ΧΩΡΩΝ, ΦΥΤΕΜΕΝΑ ΔΩΜΑΤΑ, 14 ΚΟΛΥΜΒΗΤΙΚΕΣ ΔΕΞΑΜΕΝΕΣ, ΜΕ ΔΙΑΜΟΡΦΩΣΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΧΩΡΟΥ, ΑΔΕΙΑ ΚΟΠΗΣ ΔΕΝΤΡΩΝ ΚΑΙ ΧΡΗΣΗ ΤΟΥ ΑΡΘΡΟΥ 25 ΤΟΥ ΝΟΚ ΟΠΩΣ ΙΣΧΥΕΙ ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ ΠΜ-Π1.8",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
ΡΠΣ746Ψ842-ΣΧΡ,606562,17/02/2023 11:54:14,17/02/2023 14:57:10,https://diavgeia.gov.gr/doc/ΡΠΣ746Ψ842-ΣΧΡ,"Προέγκριση Οικοδομικής Αδείας (ν.4759/2020): ΑΝΕΓΕΡΣΗ ΣΥΓΚΡΟΤΗΜΑΤΟΣ 9 ΤΡΙΩΡΟΦΩΝ ΚΤΗΡΙΩΝ ΚΑΤΟΙΚΙΩΝ,ΜΕ ΕΝΑΝ ΥΠΟΓΕΙΟ ΟΡΟΦΟ ΣΤΑΘΜΕΥΣΗΣ ΚΑΙ ΒΟΗΘΗΤΙΚΩΝ ΧΩΡΩΝ,ΦΥΤΕΜΕΝΑ ΔΩΜΑΤΑ,30 ΚΟΛΥΜΒΗΤΙΚΕΣ ΔΕΞΑΜΕΝΕΣ, ΜΕ ΔΙΑΜΟΡΦΩΣΗ ΠΕΡΙΒ.ΧΩΡΟΥ,ΑΔΕΙΑ  ΚΟΠΗΣ ΔΕΝΔΡΩΝ ΚΑΙ  ΧΡΗΣΗ ΑΡΘΡΟΥ 25 ΤΟΥ ΝΟΚ  ΟΠΩΣ ΙΣΧΥΕΙ , 
ΣΤΟ ΟΙΚΟΔΟΜΙΚΟ ΤΕΤΡΑΓΩΝΟ ΠΜ-Π1.7Β",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
6ΘΙΦ46Ψ842-57Ω,688591,18/05/2023 14:27:05,18/05/2023 14:53:34,https://diavgeia.gov.gr/doc/6ΘΙΦ46Ψ842-57Ω,"Προέγκριση Οικοδομικής Αδείας (ν.4759/2020): COMMERCIAL HUB: ΑΔΕΙΑ ΕΚΣΚΑΦΩΝ ΚΑΙ ΚΑΤΑΣΚΕΥΗΣ ΤΟΙΧΕΙΩΝ ΑΝΤΙΣΤΗΡΙΞΗΣ-ΑΔΕΙΑ ΚΟΠΗΣ ΔΕΝΤΡΩΝ, ΜΕ ΣΚΟΠΟ ΤΗΝ ΑΝΕΓΕΡΣΗ ΚΤΗΡΙΟΥ ΕΙΔΙΚΗΣ ΑΡΧΙΤΕΚΤΟΝΙΚΗΣ ΣΧΕΔΙΑΣΗΣ ΕΜΠΟΡΙΚΟΥ ΚΕΝΤΡΟΥ, ΓΡΑΦΕΙΩΝ ΚΑΙ ΕΜΠΟΡΙΚΩΝ ΚΑΤΑΣΤΗΜΑΤΩΝ, ΜΕ ΤΡΕΙΣ ΟΡΟΦΟΥΣ, ΤΡΙΑ ΙΣΟΓΕΙΑ ΕΠΙΠΕΔΑ ΚΑΙ ΕΞΙ ΚΛΙΜΑΚΩΤΑ ΥΠΟΓΕΙΑ ΕΠΙΠΕΔΑ ΒΟΗΘΗΤΙΚΩΝ ΧΩΡΩΝ, ΘΕΣΕΩΝ ΣΤΑΘΜΕΥΣΗΣ ΚΑΙ ΗΛΕΚΤΡΟΜΗΧΑΝΟΛΟΓΙΚΩΝ ΕΓΚΑΤΑΣΤΑΣΕΩΝ, ΜΕ ΔΙΑΜΟΡΦΩΣΗ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΧΩΡΟΥ ΚΑΙ ΚΑΤΑΣΚΕΥΗ ΥΔΑΤΙΝΩΝ ΣΤΟΙΧΕΙΩΝ, ΠΕΡΓΚΟΛΩΝ,
ΣΤΕΓΑΣΤΡΩΝ, ΗΛΙΑΚΩΝ ΑΙΘΡΙΩΝ, ΣΤΟ ΟΙΚΟΠΕΔΟ Α-Π4.17.1 ΤΟΥ Ο.Τ. Α-Π4.17 ΤΟΥ ΜΗΤΡΟΠΟΛΙΤΙΚΟΥ ΠΟΛΟΥ ΕΛΛΗΝΙΚΟΥ- ΑΓΙΟΥ ΚΟΣΜΑ ",2.4.6.1,ΠΡΑΞΕΙΣ ΧΩΡΟΤΑΞΙΚΟΥ - ΠΟΛΕΟΔΟΜΙΚΟΥ ΠΕΡΙΕΧΟΜΕΝΟΥ,99201077,ΤΕΧΝΙΚΟ ΕΠΙΜΕΛΗΤΗΡΙΟ ΕΛΛΑΔΑΣ
